id,name,region,category,address,lon,lat,rating,imageUrl,memo
1933,니코키친,종로/중구,한식,"서울 종로구 율곡로10길 85-5 1층 (권농동)",126.99199894,37.57386624,0,https://via.placeholder.com/150,NULL
1934,"서울시립미술관 북서울미술관",성북/노원/중랑,카페,"서울 노원구 동일로 1238 (중계동)",127.0668598,37.64066136,0,https://via.placeholder.com/150,NULL
1935,리틀빅토리,홍대/합정/마포,베이커리,"서울 마포구 연희로1길 41 1층 (연남동)",126.92570769,37.56080393,0,https://via.placeholder.com/150,NULL
1936,"세시셀라 도산공원점",강남,베이커리,"서울 강남구 도산대로45길 10-4 삼경빌딩 1층 (신사동)",127.03616366,37.52314916,0,https://via.placeholder.com/150,NULL
1937,렁트멍,구로/관악/동작,베이커리,"서울 동작구 장승배기로 26 아이파크상가 102호 (상도동)",126.94236913,37.50051913,0,https://via.placeholder.com/150,NULL
1938,"렁트멍 2호점",구로/관악/동작,베이커리,"서울 동작구 상도로30길 63-4 (상도동)",126.94449218,37.50463504,0,https://via.placeholder.com/150,NULL
1939,삐아프,강남,카페,"서울 강남구 논현로175길 109 컨템포빌딩 1층 (신사동)",127.0206122,37.52231767,0,https://via.placeholder.com/150,NULL
1940,삼원가든,강남,한식,"서울 강남구 언주로 835 (신사동)",127.03261794,37.52484949,0,https://via.placeholder.com/150,NULL
1941,마포옥,홍대/합정/마포,한식,"서울 마포구 토정로 312 1층 (용강동)",126.94333458,37.53986369,0,https://via.placeholder.com/150,NULL
1942,쟝블랑제리,구로/관악/동작,베이커리,"서울 관악구 낙성대역길 8 (봉천동)",126.96196823,37.47715762,0,https://via.placeholder.com/150,NULL
1943,만동제과,신촌/연희,베이커리,"서울 서대문구 연희로 32 (창천동)",126.92726889,37.5615329,0,https://via.placeholder.com/150,NULL
1944,우스블랑,용산/이태원/한남,베이커리,"서울 용산구 효창원로70길 4 (효창동)",126.96238824,37.54138497,0,https://via.placeholder.com/150,NULL
1945,루엘드파리,서초,베이커리,"서울 서초구 서초중앙로 18 1층 107,112,117,118호 (서초동)",127.0172764,37.48395969,0,https://via.placeholder.com/150,NULL
1946,"비파티세리 공덕점",홍대/합정/마포,베이커리,"서울 마포구 마포대로14길 4 1층 (공덕동)",126.95511954,37.54861746,0,https://via.placeholder.com/150,NULL
1947,카페시트롱,강남,베이커리,"서울 강남구 논현로26길 56 1층 (도곡동)",127.04650164,37.48427968,0,https://via.placeholder.com/150,NULL
1948,"폴앤폴리나 연희동점",신촌/연희,베이커리,"서울 서대문구 연희로11길 56 1층 (연희동)",126.92907624,37.56887802,0,https://via.placeholder.com/150,NULL
1949,바게트케이,강남,베이커리,"서울 강남구 테헤란로34길 21-10 1층 (역삼동)",127.04144525,37.50029436,0,https://via.placeholder.com/150,NULL
1950,"아티장베이커스 한남동점",용산/이태원/한남,베이커리,"서울 용산구 한남대로18길 26 1층 (한남동)",127.00865534,37.53451601,0,https://via.placeholder.com/150,NULL
